,Pclass,Age,SibSp,Parch,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S
0,3,0.275,1,0,0,1,0,0,1
1,1,0.475,1,0,1,0,1,0,0
2,3,0.325,0,0,1,0,0,0,1
3,1,0.4375,1,0,1,0,0,0,1
4,3,0.4375,0,0,0,1,0,0,1
5,3,0.37351422084130015,0,0,0,1,0,1,0
6,1,0.675,0,0,0,1,0,0,1
7,3,0.025,3,1,0,1,0,0,1
8,3,0.3375,0,2,1,0,0,0,1
9,2,0.175,1,0,1,0,1,0,0
10,3,0.05,1,1,1,0,0,0,1
11,1,0.725,0,0,1,0,0,0,1
12,3,0.25,0,0,0,1,0,0,1
13,3,0.4875,1,5,0,1,0,0,1
14,3,0.175,0,0,1,0,0,0,1
15,2,0.6875,0,0,1,0,0,0,1
16,3,0.025,4,1,0,1,0,1,0
17,2,0.37351422084130015,0,0,0,1,0,0,1
18,3,0.3875,1,0,1,0,0,0,1
19,3,0.37351422084130015,0,0,1,0,1,0,0
20,2,0.4375,0,0,0,1,0,0,1
21,2,0.425,0,0,0,1,0,0,1
22,3,0.1875,0,0,1,0,0,1,0
23,1,0.35,0,0,0,1,0,0,1
24,3,0.1,3,1,1,0,0,0,1
25,3,0.475,1,5,1,0,0,0,1
26,3,0.37351422084130015,0,0,0,1,1,0,0
27,1,0.2375,3,2,0,1,0,0,1
28,3,0.37351422084130015,0,0,1,0,0,1,0
29,3,0.37351422084130015,0,0,0,1,0,0,1
30,1,0.5,0,0,0,1,1,0,0
31,1,0.37351422084130015,1,0,1,0,1,0,0
32,3,0.37351422084130015,0,0,1,0,0,1,0
33,2,0.825,0,0,0,1,0,0,1
34,1,0.35,1,0,0,1,1,0,0
35,1,0.525,1,0,0,1,0,0,1
36,3,0.37351422084130015,0,0,0,1,1,0,0
37,3,0.2625,0,0,0,1,0,0,1
38,3,0.225,2,0,1,0,0,0,1
39,3,0.175,1,0,1,0,1,0,0
40,3,0.5,1,0,1,0,0,0,1
41,2,0.3375,1,0,1,0,0,0,1
42,3,0.37351422084130015,0,0,0,1,1,0,0
43,2,0.0375,1,2,1,0,1,0,0
44,3,0.2375,0,0,1,0,0,1,0
45,3,0.37351422084130015,0,0,0,1,0,0,1
46,3,0.37351422084130015,1,0,0,1,0,1,0
47,3,0.37351422084130015,0,0,1,0,0,1,0
48,3,0.37351422084130015,2,0,0,1,1,0,0
49,3,0.225,1,0,1,0,0,0,1
50,3,0.0875,4,1,0,1,0,0,1
51,3,0.2625,0,0,0,1,0,0,1
52,1,0.6125,1,0,1,0,1,0,0
53,2,0.3625,1,0,1,0,0,0,1
54,1,0.8125,0,1,0,1,1,0,0
55,1,0.37351422084130015,0,0,0,1,0,0,1
56,2,0.2625,0,0,1,0,0,0,1
57,3,0.35625,0,0,0,1,1,0,0
58,2,0.0625,1,2,1,0,0,0,1
59,3,0.1375,5,2,0,1,0,0,1
60,3,0.275,0,0,0,1,1,0,0
61,1,0.475,0,0,1,0,0,0,1
62,1,0.5625,1,0,0,1,0,0,1
63,3,0.05,3,2,0,1,0,0,1
64,1,0.37351422084130015,0,0,0,1,1,0,0
65,3,0.37351422084130015,1,1,0,1,1,0,0
66,2,0.3625,0,0,1,0,0,0,1
67,3,0.2375,0,0,0,1,0,0,1
68,3,0.2125,4,2,1,0,0,0,1
69,3,0.325,2,0,0,1,0,0,1
70,2,0.4,0,0,0,1,0,0,1
71,3,0.2,5,2,1,0,0,0,1
72,2,0.2625,0,0,0,1,0,0,1
73,3,0.325,1,0,0,1,1,0,0
74,3,0.4,0,0,0,1,0,0,1
75,3,0.3125,0,0,0,1,0,0,1
76,3,0.37351422084130015,0,0,0,1,0,0,1
77,3,0.37351422084130015,0,0,0,1,0,0,1
78,2,0.010374999999999999,0,2,0,1,0,0,1
79,3,0.375,0,0,1,0,0,0,1
80,3,0.275,0,0,0,1,0,0,1
81,3,0.3625,0,0,0,1,0,0,1
82,3,0.37351422084130015,0,0,1,0,0,1,0
83,1,0.35,0,0,0,1,0,0,1
84,2,0.2125,0,0,1,0,0,0,1
85,3,0.4125,3,0,1,0,0,0,1
86,3,0.2,1,3,0,1,0,0,1
87,3,0.37351422084130015,0,0,0,1,0,0,1
88,1,0.2875,3,2,1,0,0,0,1
89,3,0.3,0,0,0,1,0,0,1
90,3,0.3625,0,0,0,1,0,0,1
91,3,0.25,0,0,0,1,0,0,1
92,1,0.575,1,0,0,1,0,0,1
93,3,0.325,1,2,0,1,0,0,1
94,3,0.7375,0,0,0,1,0,0,1
95,3,0.37351422084130015,0,0,0,1,0,0,1
96,1,0.8875,0,0,0,1,1,0,0
97,1,0.2875,0,1,0,1,1,0,0
98,2,0.425,0,1,1,0,0,0,1
99,2,0.425,1,0,0,1,0,0,1
100,3,0.35,0,0,1,0,0,0,1
101,3,0.37351422084130015,0,0,0,1,0,0,1
102,1,0.2625,0,1,0,1,0,0,1
103,3,0.4125,0,0,0,1,0,0,1
104,3,0.4625,2,0,0,1,0,0,1
105,3,0.35,0,0,0,1,0,0,1
106,3,0.2625,0,0,1,0,0,0,1
107,3,0.37351422084130015,0,0,0,1,0,0,1
108,3,0.475,0,0,0,1,0,0,1
109,3,0.37351422084130015,1,0,1,0,0,1,0
110,1,0.5875,0,0,0,1,0,0,1
111,3,0.18125,1,0,1,0,1,0,0
112,3,0.275,0,0,0,1,0,0,1
113,3,0.25,1,0,1,0,0,0,1
114,3,0.2125,0,0,1,0,1,0,0
115,3,0.2625,0,0,0,1,0,0,1
116,3,0.88125,0,0,0,1,0,1,0
117,2,0.3625,1,0,0,1,0,0,1
118,1,0.3,0,1,0,1,1,0,0
119,3,0.025,4,2,1,0,0,0,1
120,2,0.2625,2,0,0,1,0,0,1
121,3,0.37351422084130015,0,0,0,1,0,0,1
122,2,0.40625,1,0,0,1,1,0,0
123,2,0.40625,0,0,1,0,0,0,1
124,1,0.675,0,1,0,1,0,0,1
125,3,0.15,1,0,0,1,1,0,0
126,3,0.37351422084130015,0,0,0,1,0,1,0
127,3,0.3,0,0,0,1,0,0,1
128,3,0.37351422084130015,1,1,1,0,1,0,0
129,3,0.5625,0,0,0,1,0,0,1
130,3,0.4125,0,0,0,1,1,0,0
131,3,0.25,0,0,0,1,0,0,1
132,3,0.5875,1,0,1,0,0,0,1
133,2,0.3625,1,0,1,0,0,0,1
134,2,0.3125,0,0,0,1,0,0,1
135,2,0.2875,0,0,0,1,1,0,0
136,1,0.2375,0,2,1,0,0,0,1
137,1,0.4625,1,0,0,1,0,0,1
138,3,0.2,0,0,0,1,0,0,1
139,1,0.3,0,0,0,1,1,0,0
140,3,0.37351422084130015,0,2,1,0,1,0,0
141,3,0.275,0,0,1,0,0,0,1
142,3,0.3,1,0,1,0,0,0,1
143,3,0.2375,0,0,0,1,0,1,0
144,2,0.225,0,0,0,1,0,0,1
145,2,0.2375,1,1,0,1,0,0,1
146,3,0.3375,0,0,0,1,0,0,1
147,3,0.1125,2,2,1,0,0,0,1
148,2,0.45625,0,2,0,1,0,0,1
149,2,0.525,0,0,0,1,0,0,1
150,2,0.6375,0,0,0,1,0,0,1
151,1,0.275,1,0,1,0,0,0,1
152,3,0.69375,0,0,0,1,0,0,1
153,3,0.50625,0,2,0,1,0,0,1
154,3,0.37351422084130015,0,0,0,1,0,0,1
155,1,0.6375,0,1,0,1,1,0,0
156,3,0.2,0,0,1,0,0,1,0
157,3,0.375,0,0,0,1,0,0,1
158,3,0.37351422084130015,0,0,0,1,0,0,1
159,3,0.37351422084130015,8,2,0,1,0,0,1
160,3,0.55,0,1,0,1,0,0,1
161,2,0.5,0,0,1,0,0,0,1
162,3,0.325,0,0,0,1,0,0,1
163,3,0.2125,0,0,0,1,0,0,1
164,3,0.0125,4,1,0,1,0,0,1
165,3,0.1125,0,2,0,1,0,0,1
166,1,0.37351422084130015,0,1,1,0,0,0,1
167,3,0.5625,1,4,1,0,0,0,1
168,1,0.37351422084130015,0,0,0,1,0,0,1
169,3,0.35,0,0,0,1,0,0,1
170,1,0.7625,0,0,0,1,0,0,1
171,3,0.05,4,1,0,1,0,1,0
172,3,0.0125,1,1,1,0,0,0,1
173,3,0.2625,0,0,0,1,0,0,1
174,1,0.7,0,0,0,1,1,0,0
175,3,0.225,1,1,0,1,0,0,1
176,3,0.37351422084130015,3,1,0,1,0,0,1
177,1,0.625,0,0,1,0,1,0,0
178,2,0.375,0,0,0,1,0,0,1
179,3,0.45,0,0,0,1,0,0,1
180,3,0.37351422084130015,8,2,1,0,0,0,1
181,2,0.37351422084130015,0,0,0,1,1,0,0
182,3,0.1125,4,2,0,1,0,0,1
183,2,0.0125,2,1,0,1,0,0,1
184,3,0.05,0,2,1,0,0,0,1
185,1,0.37351422084130015,0,0,0,1,0,0,1
186,3,0.37351422084130015,1,0,1,0,0,1,0
187,1,0.5625,0,0,0,1,0,0,1
188,3,0.5,1,1,0,1,0,1,0
189,3,0.45,0,0,0,1,0,0,1
190,2,0.4,0,0,1,0,0,0,1
191,2,0.2375,0,0,0,1,0,0,1
192,3,0.2375,1,0,1,0,0,0,1
193,2,0.0375,1,1,0,1,0,0,1
194,1,0.55,0,0,1,0,1,0,0
195,1,0.725,0,0,1,0,1,0,0
196,3,0.37351422084130015,0,0,0,1,0,1,0
197,3,0.525,0,1,0,1,0,0,1
198,3,0.37351422084130015,0,0,1,0,0,1,0
199,2,0.3,0,0,1,0,0,0,1
200,3,0.35,0,0,0,1,0,0,1
201,3,0.37351422084130015,8,2,0,1,0,0,1
202,3,0.425,0,0,0,1,0,0,1
203,3,0.56875,0,0,0,1,1,0,0
204,3,0.225,0,0,0,1,0,0,1
205,3,0.025,0,1,1,0,0,0,1
206,3,0.4,1,0,0,1,0,0,1
207,3,0.325,0,0,0,1,1,0,0
208,3,0.2,0,0,1,0,0,1,0
209,1,0.5,0,0,0,1,1,0,0
210,3,0.3,0,0,0,1,0,0,1
211,2,0.4375,0,0,1,0,0,0,1
212,3,0.275,0,0,0,1,0,0,1
213,2,0.375,0,0,0,1,0,0,1
214,3,0.37351422084130015,1,0,0,1,0,1,0
215,1,0.3875,1,0,1,0,1,0,0
216,3,0.3375,0,0,1,0,0,0,1
217,2,0.525,1,0,0,1,0,0,1
218,1,0.4,0,0,1,0,1,0,0
219,2,0.375,0,0,0,1,0,0,1
220,3,0.2,0,0,0,1,0,0,1
221,2,0.3375,0,0,0,1,0,0,1
222,3,0.6375,0,0,0,1,0,0,1
223,3,0.37351422084130015,0,0,0,1,0,0,1
224,1,0.475,1,0,0,1,0,0,1
225,3,0.275,0,0,0,1,0,0,1
226,2,0.2375,0,0,0,1,0,0,1
227,3,0.25625,0,0,0,1,0,0,1
228,2,0.225,0,0,0,1,0,0,1
229,3,0.37351422084130015,3,1,1,0,0,0,1
230,1,0.4375,1,0,1,0,0,0,1
231,3,0.3625,0,0,0,1,0,0,1
232,2,0.7375,0,0,0,1,0,0,1
233,3,0.0625,4,2,1,0,0,0,1
234,2,0.3,0,0,0,1,0,0,1
235,3,0.37351422084130015,0,0,1,0,0,0,1
236,2,0.55,1,0,0,1,0,0,1
237,2,0.1,0,2,1,0,0,0,1
238,2,0.2375,0,0,0,1,0,0,1
239,2,0.4125,0,0,0,1,0,0,1
240,3,0.37351422084130015,1,0,1,0,1,0,0
241,3,0.37351422084130015,1,0,1,0,0,1,0
242,2,0.3625,0,0,0,1,0,0,1
243,3,0.275,0,0,0,1,0,0,1
244,3,0.375,0,0,0,1,1,0,0
245,1,0.55,2,0,0,1,0,1,0
246,3,0.3125,0,0,1,0,0,0,1
247,2,0.3,0,2,1,0,0,0,1
248,1,0.4625,1,1,0,1,0,0,1
249,2,0.675,1,0,0,1,0,0,1
250,3,0.37351422084130015,0,0,0,1,0,0,1
251,3,0.3625,1,1,1,0,0,0,1
252,1,0.775,0,0,0,1,0,0,1
253,3,0.375,1,0,0,1,0,0,1
254,3,0.5125,0,2,1,0,0,0,1
255,3,0.3625,0,2,1,0,1,0,0
256,1,0.37351422084130015,0,0,1,0,1,0,0
257,1,0.375,0,0,1,0,0,0,1
258,1,0.4375,0,0,1,0,1,0,0
259,2,0.625,0,1,1,0,0,0,1
260,3,0.37351422084130015,0,0,0,1,0,1,0
261,3,0.0375,4,2,0,1,0,0,1
262,1,0.65,1,1,0,1,0,0,1
263,1,0.5,0,0,0,1,0,0,1
264,3,0.37351422084130015,0,0,1,0,0,1,0
265,2,0.45,0,0,0,1,0,0,1
266,3,0.2,4,1,0,1,0,0,1
267,3,0.3125,1,0,0,1,0,0,1
268,1,0.725,0,1,1,0,0,0,1
269,1,0.4375,0,0,1,0,0,0,1
270,1,0.37351422084130015,0,0,0,1,0,0,1
271,3,0.3125,0,0,0,1,0,0,1
272,2,0.5125,0,1,1,0,0,0,1
273,1,0.4625,0,1,0,1,1,0,0
274,3,0.37351422084130015,0,0,1,0,0,1,0
275,1,0.7875,1,0,1,0,0,0,1
276,3,0.5625,0,0,1,0,0,0,1
277,2,0.37351422084130015,0,0,0,1,0,0,1
278,3,0.0875,4,1,0,1,0,1,0
279,3,0.4375,1,1,1,0,0,0,1
280,3,0.8125,0,0,0,1,0,1,0
281,3,0.35,0,0,0,1,0,0,1
282,3,0.2,0,0,0,1,0,0,1
283,3,0.2375,0,0,0,1,0,0,1
284,1,0.37351422084130015,0,0,0,1,0,0,1
285,3,0.4125,0,0,0,1,1,0,0
286,3,0.375,0,0,0,1,0,0,1
287,3,0.275,0,0,0,1,0,0,1
288,2,0.525,0,0,0,1,0,0,1
289,3,0.275,0,0,1,0,0,1,0
290,1,0.325,0,0,1,0,0,0,1
291,1,0.2375,1,0,1,0,1,0,0
292,2,0.45,0,0,0,1,1,0,0
293,3,0.3,0,0,1,0,0,0,1
294,3,0.3,0,0,0,1,0,0,1
295,1,0.37351422084130015,0,0,0,1,1,0,0
296,3,0.29375,0,0,0,1,1,0,0
297,1,0.025,1,2,1,0,0,0,1
298,1,0.37351422084130015,0,0,0,1,0,0,1
299,1,0.625,0,1,1,0,1,0,0
300,3,0.37351422084130015,0,0,1,0,0,1,0
301,3,0.37351422084130015,2,0,0,1,0,1,0
302,3,0.2375,0,0,0,1,0,0,1
303,2,0.37351422084130015,0,0,1,0,0,1,0
304,3,0.37351422084130015,0,0,0,1,0,0,1
305,1,0.0115,1,2,0,1,0,0,1
306,1,0.37351422084130015,0,0,1,0,1,0,0
307,1,0.2125,1,0,1,0,1,0,0
308,2,0.375,1,0,0,1,1,0,0
309,1,0.375,0,0,1,0,1,0,0
310,1,0.3,0,0,1,0,1,0,0
311,1,0.225,2,2,1,0,1,0,0
312,2,0.325,1,1,1,0,0,0,1
313,3,0.35,0,0,0,1,0,0,1
314,2,0.5375,1,1,0,1,0,0,1
315,3,0.325,0,0,1,0,0,0,1
316,2,0.3,1,0,1,0,0,0,1
317,2,0.675,0,0,0,1,0,0,1
318,1,0.3875,0,2,1,0,0,0,1
319,1,0.5,1,1,1,0,1,0,0
320,3,0.275,0,0,0,1,0,0,1
321,3,0.3375,0,0,0,1,0,0,1
322,2,0.375,0,0,1,0,0,1,0
323,2,0.275,1,1,1,0,0,0,1
324,3,0.37351422084130015,8,2,0,1,0,0,1
325,1,0.45,0,0,1,0,1,0,0
326,3,0.7625,0,0,0,1,0,0,1
327,2,0.45,0,0,1,0,0,0,1
328,3,0.3875,1,1,1,0,0,0,1
329,1,0.2,0,1,1,0,1,0,0
330,3,0.37351422084130015,2,0,1,0,0,1,0
331,1,0.56875,0,0,0,1,0,0,1
332,1,0.475,0,1,0,1,0,0,1
333,3,0.2,2,0,0,1,0,0,1
334,1,0.37351422084130015,1,0,1,0,0,0,1
335,3,0.37351422084130015,0,0,0,1,0,0,1
336,1,0.3625,1,0,0,1,0,0,1
337,1,0.5125,0,0,1,0,1,0,0
338,3,0.5625,0,0,0,1,0,0,1
339,1,0.5625,0,0,0,1,0,0,1
340,2,0.025,1,1,0,1,0,0,1
341,1,0.3,3,2,1,0,0,0,1
342,2,0.35,0,0,0,1,0,0,1
343,2,0.3125,0,0,0,1,0,0,1
344,2,0.45,0,0,0,1,0,0,1
345,2,0.3,0,0,1,0,0,0,1
346,2,0.5,0,0,1,0,0,0,1
347,3,0.37351422084130015,1,0,1,0,0,0,1
348,3,0.0375,1,1,0,1,0,0,1
349,3,0.525,0,0,0,1,0,0,1
350,3,0.2875,0,0,0,1,0,0,1
351,1,0.37351422084130015,0,0,0,1,0,0,1
352,3,0.1875,1,1,0,1,1,0,0
353,3,0.3125,1,0,0,1,0,0,1
354,3,0.37351422084130015,0,0,0,1,1,0,0
355,3,0.35,0,0,0,1,0,0,1
356,1,0.275,0,1,1,0,0,0,1
357,2,0.475,0,0,1,0,0,0,1
358,3,0.37351422084130015,0,0,1,0,0,1,0
359,3,0.37351422084130015,0,0,1,0,0,1,0
360,3,0.5,1,4,0,1,0,0,1
361,2,0.3625,1,0,0,1,1,0,0
362,3,0.5625,0,1,1,0,1,0,0
363,3,0.4375,0,0,0,1,0,0,1
364,3,0.37351422084130015,1,0,0,1,0,1,0
365,3,0.375,0,0,0,1,0,0,1
366,1,0.75,1,0,1,0,1,0,0
367,3,0.37351422084130015,0,0,1,0,1,0,0
368,3,0.37351422084130015,0,0,1,0,0,1,0
369,1,0.3,0,0,1,0,1,0,0
370,1,0.3125,1,0,0,1,1,0,0
371,3,0.225,1,0,0,1,0,0,1
372,3,0.2375,0,0,0,1,0,0,1
373,1,0.275,0,0,0,1,1,0,0
374,3,0.0375,3,1,1,0,0,0,1
375,1,0.37351422084130015,1,0,1,0,1,0,0
376,3,0.275,0,0,1,0,0,0,1
377,1,0.3375,0,2,0,1,1,0,0
378,3,0.25,0,0,0,1,1,0,0
379,3,0.2375,0,0,0,1,0,0,1
380,1,0.525,0,0,1,0,1,0,0
381,3,0.0125,0,2,1,0,1,0,0
382,3,0.4,0,0,0,1,0,0,1
383,1,0.4375,1,0,1,0,0,0,1
384,3,0.37351422084130015,0,0,0,1,0,0,1
385,2,0.225,0,0,0,1,0,0,1
386,3,0.0125,5,2,0,1,0,0,1
387,2,0.45,0,0,1,0,0,0,1
388,3,0.37351422084130015,0,0,0,1,0,1,0
389,2,0.2125,0,0,1,0,1,0,0
390,1,0.45,1,2,0,1,0,0,1
391,3,0.2625,0,0,0,1,0,0,1
392,3,0.35,2,0,0,1,0,0,1
393,1,0.2875,1,0,1,0,1,0,0
394,3,0.3,0,2,1,0,0,0,1
395,3,0.275,0,0,0,1,0,0,1
396,3,0.3875,0,0,1,0,0,0,1
397,2,0.575,0,0,0,1,0,0,1
398,2,0.2875,0,0,0,1,0,0,1
399,2,0.35,0,0,1,0,0,0,1
400,3,0.4875,0,0,0,1,0,0,1
401,3,0.325,0,0,0,1,0,0,1
402,3,0.2625,1,0,1,0,0,0,1
403,3,0.35,1,0,0,1,0,0,1
404,3,0.25,0,0,1,0,0,0,1
405,2,0.425,1,0,0,1,0,0,1
406,3,0.6375,0,0,0,1,0,0,1
407,2,0.0375,1,1,0,1,0,0,1
408,3,0.2625,0,0,0,1,0,0,1
409,3,0.37351422084130015,3,1,1,0,0,0,1
410,3,0.37351422084130015,0,0,0,1,0,0,1
411,3,0.37351422084130015,0,0,0,1,0,1,0
412,1,0.4125,1,0,1,0,0,1,0
413,2,0.37351422084130015,0,0,0,1,0,0,1
414,3,0.55,0,0,0,1,0,0,1
415,3,0.37351422084130015,0,0,1,0,0,0,1
416,2,0.425,1,1,1,0,0,0,1
417,2,0.225,0,2,1,0,0,0,1
418,2,0.375,0,0,0,1,0,0,1
419,3,0.125,0,2,1,0,0,0,1
420,3,0.37351422084130015,0,0,0,1,1,0,0
421,3,0.2625,0,0,0,1,0,1,0
422,3,0.3625,0,0,0,1,0,0,1
423,3,0.35,1,1,1,0,0,0,1
424,3,0.225,1,1,0,1,0,0,1
425,3,0.37351422084130015,0,0,0,1,0,0,1
426,2,0.35,1,0,1,0,0,0,1
427,2,0.2375,0,0,1,0,0,0,1
428,3,0.37351422084130015,0,0,0,1,0,1,0
429,3,0.4,0,0,0,1,0,0,1
430,1,0.35,0,0,0,1,0,0,1
431,3,0.37351422084130015,1,0,1,0,0,0,1
432,2,0.525,1,0,1,0,0,0,1
433,3,0.2125,0,0,0,1,0,0,1
434,1,0.625,1,0,0,1,0,0,1
435,1,0.175,1,2,1,0,0,0,1
436,3,0.2625,2,2,1,0,0,0,1
437,2,0.3,2,3,1,0,0,0,1
438,1,0.8,1,4,0,1,0,0,1
439,2,0.3875,0,0,0,1,0,0,1
440,2,0.5625,1,1,1,0,0,0,1
441,3,0.25,0,0,0,1,0,0,1
